year	language	sent_num	source	reference	hypothesis	z-DAscore
15	de-en	495	"""Aber ich bin zuversichtlich, dass sich jemand finden wird"". Er selbst will nicht kandidieren, weil er seinen Wohnsitz in Bad Tölz hat."	"""However, I am confident that we will find someone"". He himself does not want to stand for it because he lives in Bad Tölz."	"""But I am confident that someone will find"" and he will not run because he has his residence in Bad Toelz."	-0.1979174689354
15	de-en	191	"""Auch wenn niemand behauptet hat, die Regierung durch Gewalt an sich gerissen zu haben, sind sich alle Berichte darüber einig, dass die Aktivitäten der Verteidigungskräfte von Lesotho bisher Anzeichen für einen Staatsstreich zeigen,"" sagte er."	"""Although no one has claimed to have taken over government through the use of force, by all accounts the activities of the Lesotho defense force thus far bear the hallmarks of a coup d'etat,"" he said."	“Even if nobody maintained the government by force to have actually torn is all reports about it united that the activities of the defense forces of Lesotho show so far signs for a coup d'etat,” said it.	-0.024235906815601
15	cs-en	494	"""Byla valná hromada, kde s tím žádný problém nebyl,"" uvedl Mráka."	"""A plenary session was held, at which no one had a problem with the idea,"" Mráka explained."	"A "" general meeting no problem was with it where was ,"" said Mráka."	-0.709421177837451
15	cs-en	350	"""Byli první, tak jsem pozvání k účasti na zahájení školního roku přijal,"" dodal ministr."	"""They were first, and so I accepted the invitation to attend the start of the school year,"" the minister said."	"""They were the first, so I was invited to attend the start of the school year,"" the Minister added."	0.679550131854845
15	de-en	325	"""Das Foto wurde jedoch irrtümlich veröffentlicht und wurde inzwischen entfernt"" sagte eine Sprecherin des Unternehmens."	"""However, the photo was put up in error and has since been removed,"" a spokeswoman for the company said."	"""The photo was mistakenly released, however, and was now removed,"" said a spokeswoman for the company."	0.768092087049021
15	de-en	83	"""Das Training beginnt regelmäßig mit einem Aufwärmprogramm"", erzählt die Trainerin."	"""Training usually starts with a warm up program"", the trainer explained."	"""The training begins regularly with a heating program"", tells the coach."	-0.799160972238874
15	de-en	252	"""Das Training beginnt regelmäßig mit einem Aufwärmprogramm"", erzählt die Trainerin."	"""Training usually starts with a warm up program"", the trainer explained."	``training begins with a regular Aufwärmprogramm ''tells the Trainerin.	-0.89187518073723
15	de-en	409	"""Das ist eine sehr gute Idee"", antwortete Schäfer-Gümbel - der chinesische Vizeminister Li Jinjun, ein intimer Kenner Deutschlands, nickte zustimmend."	"""That is a very good idea"", Schäfer-Gümbel answered - the Chinese deputy minister, Li Jinjun, an intimate expert on Germany, nodded in agreement."	"""This is a very good idea"", said Saeed - Chinese Vice Minister Li Jinjun, an intimate knowledge of Germany, nodded."	-0.491037872973927
15	de-en	74	"""Das kommt nicht unerwartet, aber es macht uns doch wütend,"" sagte Rechtsexpertin Emily Lau, Vorsitzende der Demokratischen Partei."	"""It's not unexpected, but it is still infuriating,"" said legislator Emily Lau, chairwoman of the Democratic Party."	"""This is not unexpected, but it makes us angry,"" said legal expert Emily Lau, chairman of the Democratic Party."	0.468901720330329
15	de-en	464	"""Die NPD schneidet schlechter ab als beim letzten Mal"", sagte Strobl, der auch CDU-Landeschef in Baden-Württemberg ist, der ""Leipziger Volkszeitung""."	"According to the ""Leipziger Volkszeitung,"" the NPD performed worse than last time,""said Strobl, who is also CDU regional boss in Baden-Württemberg."	"""the NPD is doing worse than last time"", said Scheck, who is also a CDU-Landeschef in Baden-Württemberg, the ""Leipziger ages""."	-0.518972735562362
15	de-en	104	"""Diese Geschichten finden einen Nachhall in den Frauenorganisationen,"" sagte sie."	"""These stories resonate with women's organizations,"" she said."	“These stories find a response in the women's organizations,” told them.	0.393350618566442
15	de-en	283	"""Diese Tragödie veränderte mein Leben, aber es hat mich nicht zerbrochen,"" sagt sie kampflustig."	'This tragedy changed my life but it surely did not break it,' she said defiantly.	"""This tragedy changed my life, but it did not break me,"" she says tear."	0.393771096967325
15	de-en	219	"""Durch dieses Vorgehen wird wesentlich zur Rationalisierung des öffentlichen Dienstes beigetragen, indem die tatsächliche Anzahl der Beamten festgestellt wird und auch die Gehaltsliste auf beiden Regierungsebenen bereinigt wird - so werden die ""Geisterangestellten"" eliminiert,"" sagte Anne Waiguru, die Kabinettssekretärin im Ministerium für Dezentralisierung und Planung."	"""This exercise will contribute significantly to the rationalization of the public service by determining the actual numbers of public servants and will also be used to cleanse the payroll at both levels of government- hence bring a stop to the issue of 'ghost workers',"" said Anne Waiguru, the cabinet secretary in the Ministry of Devolution and Planning."	"""this action will significantly contributed to the rationalisation of the public service, the actual number of civil servants is found, and also on the payroll for the two levels of government will be - it will be the"" Geisterangestellten ""eliminated"", said Anne Waiguru, the Kabinettssekretärin in the ministry for decentralisation and planning."	-0.600089982140184
15	de-en	304	"""Durch dieses Vorgehen wird wesentlich zur Rationalisierung des öffentlichen Dienstes beigetragen, indem die tatsächliche Anzahl der Beamten festgestellt wird und auch die Gehaltsliste auf beiden Regierungsebenen bereinigt wird - so werden die ""Geisterangestellten"" eliminiert,"" sagte Anne Waiguru, die Kabinettssekretärin im Ministerium für Dezentralisierung und Planung."	"""This exercise will contribute significantly to the rationalization of the public service by determining the actual numbers of public servants and will also be used to cleanse the payroll at both levels of government- hence bring a stop to the issue of 'ghost workers',"" said Anne Waiguru, the cabinet secretary in the Ministry of Devolution and Planning."	"""Through this action is contributed substantially to the rationalization of the public service in that the actual amount of the official is assessed and also the salary list on both government plains settled becomes - so are eliminated the"" spirit employees"", said"" Anne Waiguru, the cabinet secretary in the ministry for decentralization and planning."	-0.163308236191849
15	de-en	474	"""Er war sehr positiv,"" sagt Abbott."	"""He was very positive,"" says Abbott."	“It was very positive,” says Abbott.	-0.536834052175673
15	de-en	87	"""Es erschien ihm lustig,"" sagte er stattdessen."	"""It struck him as funny,"" he said instead."	``it appeared to him, ''he said.	-1.03120330564073
15	de-en	12	"""Es ist ein Industriegift, dass in großen Teilen unserer Immobilien enthalten ist,"" bemerkt Andrew Morgan, der Rechtsanwalt, der Andrew Lawson in seinem Prozess gegen Guy's Hospital vertreten hat."	"""It's an industrial poison built into large amounts of our housing stock,"" notes Andrew Morgan, the lawyer who represented Andrew Lawson in his case against Guy's Hospital."	"""It is an industrial poison that is contained in large parts of our properties,"" said Andrew Morgan, the lawyer who has represented Andrew Lawson in his trial against Guy's Hospital."	0.781933138689192
15	de-en	241	"""Es tut mir so leid um alle diejenigen, die unter den Greueln leiden,"" sagte Damir, der vergangene Woche als Freiwilliger in einem Kloster arbeitete."	'I feel so sorry for all those who suffer from these horrors,' said Damir, who was last week doing voluntary work at a nunnery.	"""I am so sorry for all those who suffer the atrocities,"" said Damir, who last week worked as a volunteer in a monastery."	0.534415486676389
15	cs-en	63	"""Faktem je, že jsme u něj žádné peníze nenašli,"" řekl komisař."	"""It's a fact that we did not find any money on him,"" the commissioner said."	""" the fact is that we have not found any money for him , ' the Commissioner said ."	0.0194583582832617
15	de-en	373	"""Für Bier braucht es nicht viel: gutes Wasser, Getreide und Lebensfreude"", fügte er bei dem Mittagessen mit dem Parteioberen in Guangzhou hinzu."	"""You don't need a lot to make beer: good water, grain and a zest for life"", he added over lunch with the senior party member in Guangzhou."	"""For beer does not need it a lot: He matched"" good water, grain and high spirits, ""during the lunch with the party-upper one in Guangzhou."	-0.378401054946374
15	cs-en	251	"""Hrozně rád bych tomu věřil,"" dodal."	"""I would really like to believe that,"" he added."	"""I'd love to believe it,"" he added."	0.778850613193341
15	de-en	59	"""Ich bezweifle, dass wir jemals die Wahrheit erfahren."	'I doubt we'll ever know the truth.	"""I doubt that we will ever know the truth."	0.95258229817377
15	de-en	40	"""Ich bin heute mit recht guten Hoffnungen auf ein gutes Ergebnis hineingegangen,"" sagte Johnston und fügte hinzu: ""Es hat einfach nicht geklappt."""	"""I went into today with some pretty good hopes of finishing well,"" Johnston said, adding, ""It just didn't work out."""	"""I went into today with pretty good hopes for a good result,"" said Johnston, adding: ""It just didn't work out."""	0.723660462251228
15	de-en	398	"""Ich erinnere mich, dass ich ihm zurief, ""Damir, lauf, lauf weg"", aber ich war auch so sicher, dass er mich nicht gehört hatte."	'I remember I was shouting to him 'Damir, run, run away' but again I was so sure he had not heard me.	``I remember that I shouted at him'Damir, lauf, lauf away '', but I was sure that he had not heard me.	-0.108592264173436
15	de-en	95	"""Ich habe Herrn Piffl angerufen und vorgeschlagen, dass wir uns einmal zusammensetzen könnten"", berichtet Sjöberg."	"""I have rung Mr Piffl and suggested that we get together"", Sjöberg reported."	"""I phoned Mr Piffl and suggested that we could sit down with us,"" says."	0.0577068223205979
15	de-en	463	"""Ich habe Herrn Piffl angerufen und vorgeschlagen, dass wir uns einmal zusammensetzen könnten"", berichtet Sjöberg."	"""I have rung Mr Piffl and suggested that we get together"", Sjöberg reported."	"""I called and suggested that we could sit down together once Mr. Piffl"" says Sjöberg."	-0.250204034108726
15	de-en	205	"""Ich hoffe, dass Frauen, die einen anderen, aber parallelen Grund dafür haben, eine dem Körper innewohnende Gefahr zu verstehen - und Meinungen zur Rasse, die in öffentlichen Umfragen deutlich anders sind - die Veränderungen anführen werden,"" schrieb Steinem."	"""I hope women, who have a different but parallel reason for understanding a danger that is located in the body - and racial opinions that are measurably different in public polls - will lead the change,"" Steinem wrote."	"""I hope that women who have a different but parallel reason to understand the danger inherent in the body - and opinions on race that are significantly different in public opinion polls - will make the changes,"" Steinem wrote."	0.458314010869571
15	de-en	6	"""Ich kann etwas Lustiges auf Facebook über mich und meinen Partner veröffentlichen und bekomme 150 Likes von überall her,"" sagte Mitchell."	"""I can post something funny on Facebook about what's going on with me and my partner and it will get 150 likes from all over the place,"" said Mitchell."	"""I can publish something funny on Facebook about me and my partner and get 150 likes from everywhere,"" said Mitchell."	0.519403255840992
15	de-en	185	"""Ich verließ den Hof etwa zwei Minuten, bevor die Terroristen ihn stürmten, und so blieb mein kleiner Junge dort für drei schreckliche Tage allein,"" erinnert sie sich."	'I left two minutes before the terrorists rushed into the yard, so my little boy was left there alone for three days of horror,' she recalled.	"""I left the yard about two minutes before the terrorists stormed it, and so remained my smaller boy there for three terrible days alone,"" remember it."	0.122897595723878
15	de-en	202	"""Ich verstehe absolut, worauf Sie hinaus wollen,"" antwortete Esme Nussbaum mit ruhiger Stimme, als sie sicher war, dass ihr Vorgesetzter zu Ende gesprochen hatte, ""und ich sage nichts anderes, als dass wir noch nicht so wirksam geheilt sind, wie wir uns selbst vormachen."	"""I fully understand the points you are making,"" Esme Nussbaum replied in a quiet voice, once she was certain her supervisor had finished speaking, ""and I am saying no more than that we are not healed as effectively as we delude ourselves we are."	"""I understand absolutely whereon you want out,"" answered say Esme nut tree with quiet voice when it certainly was, that its superior had spoken to end, ""and I nothing other when that we are not healed yet so effective, how we show ourselves."	-0.594865264256322
15	de-en	210	"""Ich will alles lieber sofort als später"", notierte er."	"""I want everything to happen sooner rather than later,"" he noted."	''I want everything at once, rather than later, he quoted.	0.0102714689940582
